MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0],0,183,0,187,0.5054054054054054,0.0,0.0,0.0,0.6714542190305206,0.5054054054054054,1.0,183.0,187.0
[0],0,205,0,165,0.44594594594594594,0.0,0.0,0.0,0.616822429906542,0.44594594594594594,1.0,205.0,165.0
[0],0,178,0,192,0.518918918918919,0.0,0.0,0.0,0.6832740213523132,0.518918918918919,1.0,178.0,192.0
[0],0,176,0,194,0.5243243243243243,0.0,0.0,0.0,0.6879432624113475,0.5243243243243243,1.0,176.0,194.0
[0],0,179,0,191,0.5162162162162162,0.0,0.0,0.0,0.6809269162210339,0.5162162162162162,1.0,179.0,191.0
[0],0,179,0,191,0.5162162162162162,0.0,0.0,0.0,0.6809269162210339,0.5162162162162162,1.0,179.0,191.0
[0],0,178,0,192,0.518918918918919,0.0,0.0,0.0,0.6832740213523132,0.518918918918919,1.0,178.0,192.0
[0],0,182,0,188,0.5081081081081081,0.0,0.0,0.0,0.6738351254480287,0.5081081081081081,1.0,182.0,188.0
[0],0,179,0,191,0.5162162162162162,0.0,0.0,0.0,0.6809269162210339,0.5162162162162162,1.0,179.0,191.0
[0],0,186,0,184,0.4972972972972973,0.0,0.0,0.0,0.6642599277978339,0.4972972972972973,1.0,186.0,184.0
[1],0,192,0,178,0.4810810810810811,0.0,0.0,0.0,0.6496350364963505,0.4810810810810811,1.0,192.0,178.0
[1],0,168,0,202,0.5459459459459459,0.0,0.0,0.0,0.7062937062937062,0.5459459459459459,1.0,168.0,202.0
[1],0,176,0,194,0.5243243243243243,0.0,0.0,0.0,0.6879432624113475,0.5243243243243243,1.0,176.0,194.0
[1],0,179,0,191,0.5162162162162162,0.0,0.0,0.0,0.6809269162210339,0.5162162162162162,1.0,179.0,191.0
[1],0,187,0,183,0.4945945945945946,0.0,0.0,0.0,0.6618444846292947,0.4945945945945946,1.0,187.0,183.0
[1],0,185,0,185,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,185.0,185.0
[1],0,198,0,172,0.4648648648648649,0.0,0.0,0.0,0.6346863468634686,0.4648648648648649,1.0,198.0,172.0
[1],0,170,0,200,0.5405405405405406,0.0,0.0,0.0,0.7017543859649124,0.5405405405405406,1.0,170.0,200.0
[1],0,181,0,189,0.5108108108108108,0.0,0.0,0.0,0.6762075134168158,0.5108108108108108,1.0,181.0,189.0
[1],0,179,0,191,0.5162162162162162,0.0,0.0,0.0,0.6809269162210339,0.5162162162162162,1.0,179.0,191.0
[2],0,192,0,178,0.4810810810810811,0.0,0.0,0.0,0.6496350364963505,0.4810810810810811,1.0,192.0,178.0
[2],0,183,0,187,0.5054054054054054,0.0,0.0,0.0,0.6714542190305206,0.5054054054054054,1.0,183.0,187.0
[2],0,188,0,182,0.4918918918918919,0.0,0.0,0.0,0.6594202898550725,0.4918918918918919,1.0,188.0,182.0
[2],0,191,0,179,0.4837837837837838,0.0,0.0,0.0,0.6520947176684881,0.4837837837837838,1.0,191.0,179.0
[2],0,171,0,199,0.5378378378378378,0.0,0.0,0.0,0.6994727592267135,0.5378378378378378,1.0,171.0,199.0
[2],0,170,0,200,0.5405405405405406,0.0,0.0,0.0,0.7017543859649124,0.5405405405405406,1.0,170.0,200.0
[2],0,186,0,184,0.4972972972972973,0.0,0.0,0.0,0.6642599277978339,0.4972972972972973,1.0,186.0,184.0
[2],0,176,0,194,0.5243243243243243,0.0,0.0,0.0,0.6879432624113475,0.5243243243243243,1.0,176.0,194.0
[2],0,171,0,199,0.5378378378378378,0.0,0.0,0.0,0.6994727592267135,0.5378378378378378,1.0,171.0,199.0
[2],0,182,0,188,0.5081081081081081,0.0,0.0,0.0,0.6738351254480287,0.5081081081081081,1.0,182.0,188.0
[3],0,187,0,183,0.4945945945945946,0.0,0.0,0.0,0.6618444846292947,0.4945945945945946,1.0,187.0,183.0
[3],0,185,0,185,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,185.0,185.0
[3],0,195,0,175,0.47297297297297297,0.0,0.0,0.0,0.6422018348623852,0.47297297297297297,1.0,195.0,175.0
[3],0,202,0,168,0.4540540540540541,0.0,0.0,0.0,0.6245353159851301,0.4540540540540541,1.0,202.0,168.0
[3],0,192,0,178,0.4810810810810811,0.0,0.0,0.0,0.6496350364963505,0.4810810810810811,1.0,192.0,178.0
[3],0,189,0,181,0.4891891891891892,0.0,0.0,0.0,0.6569872958257713,0.4891891891891892,1.0,189.0,181.0
[3],0,189,0,181,0.4891891891891892,0.0,0.0,0.0,0.6569872958257713,0.4891891891891892,1.0,189.0,181.0
[3],0,180,0,190,0.5135135135135135,0.0,0.0,0.0,0.6785714285714285,0.5135135135135135,1.0,180.0,190.0
[3],0,180,0,190,0.5135135135135135,0.0,0.0,0.0,0.6785714285714285,0.5135135135135135,1.0,180.0,190.0
[3],0,173,0,197,0.5324324324324324,0.0,0.0,0.0,0.6948853615520282,0.5324324324324324,1.0,173.0,197.0
[4],35,140,24,171,0.5567567567567567,0.2991452991452992,0.5932203389830508,0.2,0.675889328063241,0.5498392282958199,0.8769230769230769,175.0,195.0
[4],41,143,30,156,0.5324324324324324,0.3215686274509804,0.5774647887323944,0.22282608695652173,0.6432989690721649,0.5217391304347826,0.8387096774193549,184.0,186.0
[4],32,157,28,153,0.5,0.2570281124497992,0.5333333333333333,0.1693121693121693,0.6232179226069245,0.4935483870967742,0.8453038674033149,189.0,181.0
[4],30,144,40,156,0.5027027027027027,0.24590163934426235,0.42857142857142855,0.1724137931034483,0.6290322580645161,0.52,0.7959183673469388,174.0,196.0
[4],39,143,27,161,0.5405405405405406,0.314516129032258,0.5909090909090909,0.21428571428571427,0.6544715447154471,0.5296052631578947,0.8563829787234043,182.0,188.0
[4],38,150,28,154,0.518918918918919,0.2992125984251968,0.5757575757575758,0.20212765957446807,0.6337448559670782,0.506578947368421,0.8461538461538461,188.0,182.0
[4],38,139,34,159,0.5324324324324324,0.30522088353413657,0.5277777777777778,0.21468926553672316,0.6476578411405296,0.5335570469798657,0.8238341968911918,177.0,193.0
[4],38,150,37,145,0.4945945945945946,0.2889733840304182,0.5066666666666667,0.20212765957446807,0.6079664570230608,0.4915254237288136,0.7967032967032966,188.0,182.0
[4],46,141,28,155,0.5432432432432432,0.3524904214559387,0.6216216216216216,0.24598930481283424,0.6471816283924844,0.5236486486486487,0.8469945355191257,187.0,183.0
[4],43,145,38,144,0.5054054054054054,0.31970260223048325,0.5308641975308642,0.22872340425531915,0.6114649681528662,0.4982698961937716,0.7912087912087912,188.0,182.0
