MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0 1 2 3 4 5],55,12,19,38,0.75,0.7801418439716312,0.7432432432432432,0.8208955223880597,0.7102803738317756,0.76,0.6666666666666666,67.0,57.0
[0 1 2 3 4 5],50,13,23,38,0.7096774193548387,0.7352941176470589,0.684931506849315,0.7936507936507936,0.6785714285714286,0.7450980392156863,0.6229508196721312,63.0,61.0
[0 1 2 3 4 5],45,15,21,43,0.7096774193548387,0.7142857142857143,0.6818181818181818,0.75,0.7049180327868853,0.7413793103448276,0.671875,60.0,64.0
[0 1 2 3 4 5],47,16,19,42,0.717741935483871,0.7286821705426357,0.7121212121212122,0.746031746031746,0.7058823529411765,0.7241379310344828,0.6885245901639344,63.0,61.0
[0 1 2 3 4 5],53,10,29,32,0.6854838709677419,0.7310344827586207,0.6463414634146342,0.8412698412698413,0.6213592233009708,0.7619047619047619,0.5245901639344263,63.0,61.0
[0 1 2 3 4 5],48,12,29,35,0.6693548387096774,0.7007299270072993,0.6233766233766234,0.8,0.6306306306306305,0.7446808510638298,0.546875,60.0,64.0
[0 1 2 3 4 5],49,12,23,40,0.717741935483871,0.7368421052631579,0.6805555555555556,0.8032786885245902,0.6956521739130435,0.7692307692307693,0.6349206349206349,61.0,63.0
[0 1 2 3 4 5],53,6,26,39,0.7419354838709677,0.7681159420289855,0.6708860759493671,0.8983050847457628,0.7090909090909091,0.8666666666666667,0.6,59.0,65.0
[0 1 2 3 4 5],47,12,21,44,0.7338709677419355,0.7401574803149606,0.6911764705882353,0.7966101694915254,0.7272727272727272,0.7857142857142857,0.676923076923077,59.0,65.0
[0 1 2 3 4 5],43,9,28,44,0.7016129032258065,0.6991869918699187,0.6056338028169014,0.8269230769230769,0.7040000000000001,0.8301886792452831,0.6111111111111112,52.0,72.0
