MFCCs,Mean_Accuracy,STD_Accuracy
[0 1],0.6959677419354839,0.054939423645971285
[0 2],0.6427419354838709,0.02817968582202602
[0 3],0.653225806451613,0.037825933546963154
[0 4],0.5919354838709677,0.04375696763306624
[0 5],0.6120967741935485,0.03173978815186197
[1 2],0.6564516129032258,0.050517612139889756
[1 3],0.6604838709677419,0.03486446180841499
[1 4],0.6685483870967742,0.03294628744486371
[1 5],0.7,0.04233678951098931
[2 3],0.635483870967742,0.0332117101322161
[2 4],0.6193548387096774,0.041873403179829564
[2 5],0.6266129032258064,0.03661148213811664
[3 4],0.5629032258064516,0.03914406806294064
[3 5],0.532258064516129,0.031233736662963047
[4 5],0.5443548387096774,0.04068386534074014
