,sbs__estimator__n_neighbors,sbs__k_features,Test Accuracy
0,1,2,0.6075819672131147
1,1,4,0.6209016393442623
2,1,6,0.6045081967213115
3,1,8,0.625
4,1,10,0.632172131147541
5,1,12,0.6352459016393442
6,1,14,0.6413934426229508
7,1,16,0.6270491803278688
8,3,2,0.6075819672131147
9,3,4,0.6209016393442623
10,3,6,0.6045081967213115
11,3,8,0.625
12,3,10,0.632172131147541
13,3,12,0.6352459016393442
14,3,14,0.6413934426229508
15,3,16,0.6270491803278688
16,5,2,0.6075819672131147
17,5,4,0.6209016393442623
18,5,6,0.6045081967213115
19,5,8,0.625
20,5,10,0.632172131147541
21,5,12,0.6352459016393442
22,5,14,0.6413934426229508
23,5,16,0.6270491803278688
24,10,2,0.6075819672131147
25,10,4,0.6209016393442623
26,10,6,0.6045081967213115
27,10,8,0.625
28,10,10,0.632172131147541
29,10,12,0.6352459016393442
30,10,14,0.6413934426229508
31,10,16,0.6270491803278688
32,15,2,0.6075819672131147
33,15,4,0.6209016393442623
34,15,6,0.6045081967213115
35,15,8,0.625
36,15,10,0.632172131147541
37,15,12,0.6352459016393442
38,15,14,0.6413934426229508
39,15,16,0.6270491803278688
40,17,2,0.6075819672131147
41,17,4,0.6209016393442623
42,17,6,0.6045081967213115
43,17,8,0.625
44,17,10,0.632172131147541
45,17,12,0.6352459016393442
46,17,14,0.6413934426229508
47,17,16,0.6270491803278688
48,19,2,0.6075819672131147
49,19,4,0.6209016393442623
50,19,6,0.6045081967213115
51,19,8,0.625
52,19,10,0.632172131147541
53,19,12,0.6352459016393442
54,19,14,0.6413934426229508
55,19,16,0.6270491803278688
